,pid,eid,probe,lab,subject,institute,lab_number,region,date,n_channels,neuron_yield,lfp_power,lfp_theta_power,lfp_power_raw,lfp_theta_power_raw,rms_ap_p90,n_trials,behavior,age_at_recording,n_sess_before_recording
81,b2746c16-7152-45a3-a7f0-477985638638,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,SWC_014,SWC,Lab 6,PPC,2019-12-10,58,31,-166.21564163567473,-137.89825066761506,-184.88136,-149.0955,16.076572798840456,195,False,189,56
82,b2746c16-7152-45a3-a7f0-477985638638,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,SWC_014,SWC,Lab 6,CA1,2019-12-10,54,22,-156.09827228715605,-129.43303062184572,-163.12039,-130.28346,16.969583791134646,195,False,189,56
83,b2746c16-7152-45a3-a7f0-477985638638,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,SWC_014,SWC,Lab 6,DG,2019-12-10,82,26,-149.26562260132994,-124.66615632399811,-150.28491,-118.79163,15.693582487264267,195,False,189,56
84,b2746c16-7152-45a3-a7f0-477985638638,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,SWC_014,SWC,Lab 6,LP,2019-12-10,64,44,-181.55435071055012,-159.87457022730428,-172.66548,-139.02954,26.565158467433868,195,False,189,56
85,b2746c16-7152-45a3-a7f0-477985638638,614e1937-4b24-4ad3-9055-c8253d089919,probe01,hoferlab,SWC_014,SWC,Lab 6,PO,2019-12-10,0,0,,,-172.66548,-139.02954,0.0,195,False,189,56
86,f86e9571-63ff-4116-9c40-aa44d57d2da9,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CSHL (C),Lab 3,PPC,2020-01-08,66,17,-162.72630200449544,-134.36550932427528,-160.91734,-117.7493,18.71102425829284,842,True,155,44
87,f86e9571-63ff-4116-9c40-aa44d57d2da9,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CSHL (C),Lab 3,CA1,2020-01-08,48,1,-155.37528119150716,-127.95151155853189,-156.6576,-116.50884,14.42434664245333,842,True,155,44
88,f86e9571-63ff-4116-9c40-aa44d57d2da9,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CSHL (C),Lab 3,DG,2020-01-08,60,2,-150.4365447209668,-125.83299450937827,-147.73909,-111.82785,17.695013164657873,842,True,155,44
89,f86e9571-63ff-4116-9c40-aa44d57d2da9,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CSHL (C),Lab 3,LP,2020-01-08,36,1,-181.22038456132597,-152.0140497055046,-159.91461,-117.48303,13.666740959441212,842,True,155,44
90,f86e9571-63ff-4116-9c40-aa44d57d2da9,4b7fbad4-f6de-43b4-9b15-c7c7ef44db4b,probe00,churchlandlab,CSHL049,CSHL (C),Lab 3,PO,2020-01-08,0,0,,,-159.91461,-117.48303,0.0,842,True,155,44
91,31f3e083-a324-4b88-b0a4-7788ec37b191,61e11a11-ab65-48fb-ae08-3cb80662e5d6,probe00,angelakilab,NYU-21,NYU,Lab 4,PPC,2020-08-10,84,13,-168.95833877672388,-143.99386123766138,-180.65102,-153.79407,14.267828934979697,891,False,223,81
92,31f3e083-a324-4b88-b0a4-7788ec37b191,61e11a11-ab65-48fb-ae08-3cb80662e5d6,probe00,angelakilab,NYU-21,NYU,Lab 4,CA1,2020-08-10,68,11,-160.44168856347696,-134.57745678067593,-166.28987,-135.39517,14.764024075658073,891,False,223,81
93,31f3e083-a324-4b88-b0a4-7788ec37b191,61e11a11-ab65-48fb-ae08-3cb80662e5d6,probe00,angelakilab,NYU-21,NYU,Lab 4,DG,2020-08-10,86,13,-152.23041176415887,-128.50280598881366,-152.22841,-123.171394,17.731163325323354,891,False,223,81
